symptoms,188,Abdominal guarding,guarda abdominal
symptoms,10,Abdominal pain,Dor abdominal
symptoms,223,Abdominal pain associated with menstruation,dor abdominal associada à menstruação
symptoms,984,Absence of a pulse,Ausência de um pulso
symptoms,974,Aggressiveness,Agressividade
symptoms,981,Agitation,Agitação
symptoms,996,Ankle deformity,deformidade no tornozelo
symptoms,147,Ankle swelling,inchaço do tornozelo
symptoms,238,Anxiety,Ansiedade
symptoms,1009,Arm pain,Dor no braço
symptoms,971,Arm swelling,braço inchaço
symptoms,998,Back deformity,Voltar deformidade
symptoms,104,Back pain,Dor nas costas
symptoms,180,Black stools,fezes pretas
symptoms,57,Blackening of vision,Escurecimento da visão
symptoms,24,Blackhead,Cravo
symptoms,284,Bleeding from vagina,Sangramento da vagina,
symptoms,176,Bleeding in the conjunctiva of the eye,Sangramento na conjuntiva do olho
symptoms,48,Bloated feeling in the stomach,sensação de inchaço no estômago
symptoms,190,Blood in stool,Sangue nas fezes
symptoms,233,Bloody cough,sangrenta tosse
symptoms,991,Blue colored skin,pele de cor azul
symptoms,240,Blue spot on skin,mancha azul na pele
symptoms,77,Blurred vision,Visão embaçada
symptoms,239,Bold area among hair on the head,área negrito entre cabelo na cabeça
symptoms,156,Bone fracture,Fratura óssea
symptoms,250,Breathing-related pains,dores relacionadas com a respiração
symptoms,979,Brittleness of nails,Fragilidade das unhas
symptoms,192,Bulging abdominal wall,Abaulamento da parede abdominal
symptoms,75,Burning eyes,Olhos queimando
symptoms,46,Burning in the throat,Queimação na garganta
symptoms,288,Burning nose,queimando nariz
symptoms,107,Burning sensation when urinating,Sensação de ardor ao urinar
symptoms,91,Changes in the nails,Altera nas unhas
symptoms,170,Cheek swelling,inchaço Cheek
symptoms,17,Chest pain,Dor no peito
symptoms,31,Chest tightness,aperto no peito
symptoms,175,Chills,Arrepios
symptoms,218,Coarsening of the skin structure,Engrossamento da estrutura da pele
symptoms,89,Cold feet,Apreensivo
symptoms,978,Cold hands,Mãos frias
symptoms,139,Cold sweats,suores frios
symptoms,15,Cough,Tosse
